OBJECTID,NAME,PYNAME,MAPID,ID,KIND_NUM,KIND,WIDTH,DIRECTION,TOLL,CONST_ST,UNDCONCRID,SNODEID,ENODEID,FUNCCLASS,LENGTH,DETAILCITY,THROUGH,UNTHRUCRID,OWNERSHIP,ROAD_COND,SPECIAL,ADMINCODEL,ADMINCODER,UFLAG,ONEWAYCRID,ACCESSCRID,SPEEDCLASS,LANENUMS2E,LANENUME2S,LANENUM,VEHCL_TYPE,ELEVATED,STRUCTURE,USEFEECRID,USEFEETYPE,SPDLMTS2E,SPDLMTE2S,SPDSRCS2E,SPDSRCE2S,DC_TYPE,NOPASSCRID,TYPE,Shape_Leng
1376991,大旺务中路,dwwzl,605701,7836399,1,0601,130,1,2,1,,10006205323,6210618,5,0.386,1,1,,0,1,0,110117,110117,0,,,7,2,2,2,11110001110000000000000000000000,0,0,,,200,600,3,3,0,,11,0.00444516213
1381325,南山村路,nscl,605712,7948813,1,0601,30,1,2,1,,5998959,5998960,5,1.139,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.01148697751
1381344,望水路,wsl,605712,7948871,1,0601,55,1,2,1,,10005998992,5999044,5,0.191,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00216069318
1381345,望水路,wsl,605712,7948873,1,0601,55,1,2,1,,5999044,5999045,5,0.026,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00028276027
1381346,望水路,wsl,605712,7948874,1,0601,55,1,2,1,,5999045,5998993,5,0.303,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00326529053
1381347,胡洙路,hzl,605712,7948875,1,0601,30,1,2,1,,5999045,10005999046,5,0.194,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00214855943
1381348,望水路,wsl,605712,7948889,1,0601,55,1,2,1,,5998993,5999056,5,0.338,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00387697437
1381349,望水路,wsl,605712,7948890,1,0601,55,1,2,1,,5999056,5999039,5,0.270,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00311047939
1381612,望水路,wsl,605712,7954216,1,0601,55,1,2,1,,5999039,5999085,5,0.182,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00206235493
1381614,环湖路,hhl,605712,7954263,1,0601,55,1,2,1,,10005999000,5999117,5,0.079,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00072779905
1381615,环湖路,hhl,605712,7954264,1,0601,55,1,2,1,,5999117,5999050,5,0.292,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00325560287
1381616,环湖路,hhl,605712,7954265,1,0601,55,1,2,1,,5999050,5999118,5,0.160,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00154865044
1385321,靠烟路,kyl,605723,8011145,1,0601,55,1,2,1,,20006171381,6171409,5,1.251,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.01293292891
1393235,环湖路,hhl,605712,14614559,1,0601,55,1,2,1,,73394796,12081419,5,1.428,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.01556417768
1393236,环湖路,hhl,605712,14614560,1,0601,55,1,2,1,,12081419,5999072,5,0.912,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00978291282
1416141,环湖路,hhl,605712,86345306,1,0601,55,1,2,1,,5999118,73394795,5,0.032,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.00029191166
1416142,环湖路,hhl,605712,86345308,1,0601,55,1,2,1,,73394795,73394796,5,0.961,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.01016953645
1416143,,,605712,86345315,1,0601,55,1,2,1,,73394801,73394802,5,1.126,1,1,,0,1,0,110117,110117,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,,,0,,11,0.01288152400
